name,code,average income,median age
"Laconia, NH",31000US29060,62159.0,46.1
"La Crosse-Onalaska, WI-MN Metro Area",31000US29100,51001.0,36.6
"Lafayette, LA Metro Area",31000US29180,47449.0,35.1
"Lafayette-West Lafayette, IN Metro Area",31000US29200,46582.0,29.4
"La Grande, OR",31000US29260,43822.0,40.0
"LaGrange, GA",31000US29300,41489.0,36.1
"Lake Charles, LA",31000US29340,45878.0,36.4
"Lake City, FL",31000US29380,41926.0,40.4
"Lake Havasu City-Kingman, AZ",31000US29420,38488.0,49.2
"Lakeland-Winter Haven, FL Metro Area",31000US29460,43162.0,40.3
"Lamesa, TX",31000US29500,41095.0,33.4
"Lancaster, PA Metro Area",31000US29540,57721.0,38.4
"Lansing-East Lansing, MI Metro Area",31000US29620,50421.0,35.0
"Laramie, WY",31000US29660,42834.0,26.6
"Laredo, TX",31000US29700,38862.0,28.3
"Las Cruces, NM",31000US29740,38853.0,32.4
"Las Vegas, NM",31000US29780,29237.0,42.5
"Las Vegas-Henderson-Paradise, NV Metro Area",31000US29820,51575.0,36.4
"Laurel, MS",31000US29860,36032.0,37.5
"Laurinburg, NC",31000US29900,30958.0,39.1
"Lawrence, KS",31000US29940,50939.0,28.8
"Lawrenceburg, TN",31000US29980,37814.0,39.9
"Lawton, OK",31000US30020,46245.0,32.0
"Lebanon, MO",31000US30060,39712.0,39.8
"Lebanon, PA",31000US30140,55499.0,41.1
"Levelland, TX",31000US30220,50665.0,32.8
"Lewisburg, PA",31000US30260,49803.0,38.6
"Lewisburg, TN",31000US30280,42661.0,39.4
"Lewiston, ID-WA",31000US30300,47060.0,42.6
"Lewiston-Auburn, ME",31000US30340,47537.0,40.6
"Lewistown, PA",31000US30380,41288.0,43.5
"Lexington, NE",31000US30420,48739.0,37.0
"Lexington-Fayette, KY Metro Area",31000US30460,50921.0,35.6
"Liberal, KS",31000US30580,47134.0,29.4
"Lima, OH",31000US30620,44103.0,38.1
"Lincoln, IL",31000US30660,50539.0,39.7
"Lincoln, NE",31000US30700,52177.0,33.1
"Little Rock-North Little Rock-Conway, AR Metro Area",31000US30780,49112.0,36.2
"Lock Haven, PA",31000US30820,45078.0,38.1
"Logan, UT-ID",31000US30860,50300.0,25.5
"Logan, WV Micro Area",31000US30880,36763.0,42.6
"Logansport, IN",31000US30900,42290.0,40.1
"London, KY",31000US30940,32428.0,38.3
"Longview, TX",31000US30980,47066.0,37.2
"Longview, WA",31000US31020,47452.0,41.2
"Los Alamos, NM",31000US31060,101934.0,43.5
"Los Angeles-Long Beach-Anaheim, CA Metro Area",31000US31080,60705.0,35.9
"Louisville/Jefferson County, KY-IN Metro Area",31000US31140,51205.0,38.6
"Lubbock, TX",31000US31180,45807.0,30.9
"Ludington, MI Micro Area",31000US31220,42024.0,45.7
"Lufkin, TX",31000US31260,44223.0,36.4
